    618.7782	     -7.628414E+00
    625.3194	      5.536330E+00
    683.2003	     -3.683299E-02
    726.2702	     -4.663113E+00
    746.6890	     -3.644952E-01
    861.2743	     -6.266125E-01
    877.1838	     -1.953429E+00
    921.0080	     -3.103336E-03
    942.3712	     -1.276223E+04
   1065.6221	      3.239416E-03
   1121.6679	      7.991053E+03
   1131.9674	     -6.526221E+03
   1186.7453	      7.434059E-02
   1222.6828	     -2.079103E+04
   1344.7176	      1.625678E-02
   1468.4433	      4.714651E-01
   1481.4021	     -1.973298E+04
   1567.6621	      2.835327E-02
   1636.1748	     -3.431651E+03
   3323.2539	      1.099374E-03
   3334.5872	     -8.884580E+02
   3339.4585	      1.207265E+02
   3618.4938	     -1.546894E-01
   3625.1154	      2.167406E+03
